Title,Company,Location,Date Posted,Skills
Associate Unreal Developer,Devsinc,"Lahore, Punjab, Pakistan",1 week ago,N/A
NLP Engineer,Translation Empire PK,"Islamabad, Islāmābād, Pakistan",3 weeks ago,N/A
Position Vacant Lab Engineer BPS-17,"Government  College University, Faisalabad","Faisalabad, Punjab, Pakistan",7 months ago,N/A
AI Engineer,Translation Empire PK,"Islamabad, Islāmābād, Pakistan",3 weeks ago,N/A
NLP Engineer,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",3 weeks ago,N/A
Data Science Manager,SWATX,"Islamabad, Islāmābād, Pakistan",1 month ago,N/A
Junior Python Developer,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",1 month ago,N/A
Python Develpoer,IKONIC,"Islamabad, Islāmābād, Pakistan",3 weeks ago,N/A
AI Software Developer,Translation Empire PK,"Islamabad, Islāmābād, Pakistan",3 weeks ago,N/A
Natural Language Processing (NLP) Engineer,Translation Empire PK,"Islamabad, Islāmābād, Pakistan",3 weeks ago,N/A
Senior Software Engineer - AIML,Devsinc,"Lahore, Punjab, Pakistan",1 month ago,N/A
AI Engineer,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",3 weeks ago,N/A
"Software Engineer, Machine Learning",Motive,Pakistan,1 week ago,N/A
Machine Learning-R Data Scientist,ITC Worldwide,"Lahore, Punjab, Pakistan",3 weeks ago,N/A
Software Engineer- ROR,Devsinc,"Lahore, Punjab, Pakistan",1 month ago,N/A
